Congo Basin Countries,CONGO BASIN COUNTRIES
Like Minded Developing Countries,"Like Minded Developing Countries, LMDC, LIKE MINDED DEVELOPING COUNTRIES, LMDCS"
Lithuania,"Lithuania, LITHUANIA"
Luxembourg,"LUXEMBOURG, Luxembourg"
Macedonia,MACEDONIA
Madagascar,"Madagascar, MADAGASCAR"
Malawi,"MALAWI, Malawi"
Malaysia,"MALAYSIA, Malaysia"
Maldives,"Maldives, MALDIVES"
Mali,"Mali, MALI"
Malta,"Malta, MALTA"
Marshall Islands,"MARSHALL ISLANDS, Marshall Islands"
Mauritania,"Mauritania, MAURITANIA"
Mauritius,"Mauritius, MAURITIUS"
Mexico,"Mexico, MEXICO"
Micronesia,"FEDERATED STATES OF MICRONESIA, Micronesia, MICRONESIA"
Moldova,"Moldova, MOLDOVA"
Monaco,"MONACO, Monaco"
Mongolia,"Mongolia, MONGOLIA"
Morocco,"MOROCCO, Morocco"
Mountain Landlocked Developing Countries,MOUNTAIN LANDLOCKED DEVELOPING COUNTRIES
Mozambique,"Mozambique, MOZAMBIQUE"
Myanmar,MYANMAR
Namibia,"NAMIBIA, Namibia"
Nauru,"NAURU, Nauru"
Nepal,"NEPAL, Nepal"
Netherlands,"Netherlands, NETHERLANDS"
New Zealand,"New Zealand, NEW ZEALAND"
Nicaragua,"NICARAGUA, Nicaragua"
Niger,"Niger, NIGER"
Nigeria,"NIGERIA, Nigeria"
Niue,"NIUE, Niue"
Norway,"NORWARY, NORWAY, Norway"
OECD,OECD
Oman,"Oman, OMAN"
OPEC,OPEC
Pakistan,"PAKISTAN, Pakistan"
Palau,"Palau, PALAU"
Palestine,PALESTINE
Panama,"PANAMA, Panama"
Papua New Guinea,"Papua New Guinea, PAPUA NEW GUINEA"
Paraguay,"PARAGUAY, Paraguay"
Peru,"Peru, PERU"
Philippines,"PHILLIPINES, PHILIPPINES, Philippines, PHILLIPPINES"
Poland,"Poland, POLAND"
Portugal,"PORTUGAL, Portugal"
Qatar,"Qatar, QATAR"
Romania,"ROMANIA, Romania"
Russian Federation,"Russia, RUSSIAN FEDERATION, RUSSIA"
Rwanda,"Rwanda, RWANDA"
Samoa,"Samoa, SAMOA"
Saudi Arabia,"SAUDIA ARABIA, Saudi Arabia, SAUDI ARABIA"
Senegal,"Senegal, SENEGAL"
Serbia and Montenegro,SERBIA AND MONTENEGRO
Seychelles,"SEYCHELLES, Seychelles"
SICA,"SICA, CENTRAL AMERICAN INTEGRATION SYSTEM"
Sierra Leone,"Sierra Leone, SIERRA LEONE"
Singapore,"Singapore, SINGAPORE"
Slovak Republic,"Slovakia, SLOVAKIA"
Slovenia,"SLOVENIA, Slovenia"
Solomon Islands,"SOLOMON ISLANDS, Solomon Islands"
Somalia,"Somalia, SOMALIA"
South Africa,"SOUTH AFRICA, South Africa"
South Sudan,"SOUTH SUDAN, South Sudan"
Southern Africa Development Community,"SADC, SOUTHERN AFRICA DEVELOPMENT COMMUNITY"
Southern African Development Community,SADC
Spain,"SPAIN, Spain"
Sri Lanka,"SRI LANKA, Sri Lanka"
St. Lucia,"St. Lucia, SAINT LUCIA, ST. LUCIA"
St. Vincent and the Grenadines,"SAINT VINCENT AND THE GRENADINES, ST. VINCENT AND THE GRENADINES, Saint Vincent and the Grenadines, St. Vincent and Grenadines"
Sudan,"Sudan, SUDAN"
Suriname,"Suriname, SURINAME"
Swaziland,SWAZILAND
Sweden,"SWEDEN, Sweden"
Switzerland,"SWITZER, SWITZERLAND, Switzerland, SWITERLAND"
Syrian Arab Republic,"SYRIAN ARAB REPUBLIC, Syria, SYRIA"
Tajikistan,"TAJIKISTAN, Tajikistan"
Tanzania,"TANZANIA, Tanzania"
Thailand,"THAILAND, Thailand"
Timor-Leste,"Timor-Leste, TIMOR LESTE"
Togo,"TOGO, Togo"
Tonga,"TONGA, Tonga"
Trinidad and Tobago,"TRINDAD AND TOBAGO, Trinidad and Tobago, TRINIDAD AND TOBAGO, TRININDAD AND TOBAGO"
Tunisia,"TUNISIA, Tunisia"
Turkey,"Turkey, TURKEY"
Turkmenistan,"TURKMENISTAN, Turkmenistan"
Tuvalu,"Tuvalu, TUVALU"
Uganda,"Uganda, UGANDA"
Ukraine,"Ukraine, UKRAINE"
Umbrella Group,"UMBRELLA GROUP, UG, Umbrella Group"
United Arab Emirates,"ARAB EMIRATES, UAE, United Arab Emirates"
United Kingdom,"UK, United Kingdom, UNITED KINGDOM"
United States,"US, United States, UNITED STATES"
Uruguay,"URAGUAY, URUGUAY, Uruguay"
Uzbekistan,"Uzbekistan, UZBEKISTAN"
Vanuatu,"Vanuatu, VANUATU"
Venezuela,"VENEZULA, VENEZUELA, Venezuela"
Vietnam,"VIET NAM, VIETNAM, Vietnam"
Visegrad Group,VISEGRAD GROUP
Yemen,"Yemen, YEMEN"
Yugoslavia,YUGOSLAVIA
Zambia,"ZAMBIA, Zambia"
Zimbabwe,"ZIMABABWE, ZIMBABWE, Zimbabwe"
