issue_number,country 1,country 2,behalf,support,spokewith,agreement,delay,opposition,criticism,cooperation,sentence
254,BRAZIL,JAPAN,0,0,0,0,0,1,0,0,"94 JAPAN, opposed by CANADA and BRAZIL, suggested text restraining the EB from holding closed sessions, and text requesting the EB to develop guidance on, inter alia, methodologies for energy efficiency and for transport sector CDM projects."
254,CANADA,JAPAN,0,0,0,0,0,1,0,0,"94 JAPAN, opposed by CANADA and BRAZIL, suggested text restraining the EB from holding closed sessions, and text requesting the EB to develop guidance on, inter alia, methodologies for energy efficiency and for transport sector CDM projects."
254,BRAZIL,CANADA,0,0,0,1,0,0,0,1,"94 JAPAN, opposed by CANADA and BRAZIL, suggested text restraining the EB from holding closed sessions, and text requesting the EB to develop guidance on, inter alia, methodologies for energy efficiency and for transport sector CDM projects."
254,CANADA,BRAZIL,0,0,0,1,0,0,0,1,"94 JAPAN, opposed by CANADA and BRAZIL, suggested text restraining the EB from holding closed sessions, and text requesting the EB to develop guidance on, inter alia, methodologies for energy efficiency and for transport sector CDM projects."
254,US,EU,0,0,0,1,0,0,0,1,"The US, CANADA, EU and JAPAN supported maintaining the existing modalities for identifying funding."
254,EU,US,0,0,0,1,0,0,0,1,"The US, CANADA, EU and JAPAN supported maintaining the existing modalities for identifying funding."
254,CANADA,US,0,0,0,1,0,0,0,1,"The US, CANADA, EU and JAPAN supported maintaining the existing modalities for identifying funding."
254,EU,CANADA,0,0,0,1,0,0,0,1,"The US, CANADA, EU and JAPAN supported maintaining the existing modalities for identifying funding."
254,CANADA,EU,0,0,0,1,0,0,0,1,"The US, CANADA, EU and JAPAN supported maintaining the existing modalities for identifying funding."
254,JAPAN,EU,0,0,0,1,0,0,0,1,"The US, CANADA, EU and JAPAN supported maintaining the existing modalities for identifying funding."
254,EU,JAPAN,0,0,0,1,0,0,0,1,"The US, CANADA, EU and JAPAN supported maintaining the existing modalities for identifying funding."
254,US,JAPAN,0,0,0,1,0,0,0,1,"The US, CANADA, EU and JAPAN supported maintaining the existing modalities for identifying funding."
254,CANADA,JAPAN,0,0,0,1,0,0,0,1,"The US, CANADA, EU and JAPAN supported maintaining the existing modalities for identifying funding."
254,JAPAN,CANADA,0,0,0,1,0,0,0,1,"The US, CANADA, EU and JAPAN supported maintaining the existing modalities for identifying funding."
254,JAPAN,US,0,0,0,1,0,0,0,1,"The US, CANADA, EU and JAPAN supported maintaining the existing modalities for identifying funding."
254,US,CANADA,0,0,0,1,0,0,0,1,"The US, CANADA, EU and JAPAN supported maintaining the existing modalities for identifying funding."
254,CANADA,SAUDI ARABIA,0,0,0,1,0,0,0,1,"SAUDI ARABIA and CANADA proposed considering national circumstances, and NEW ZEALAND suggested looking at examples of national policies that address least-cost mitigation approaches."
254,SAUDI ARABIA,CANADA,0,0,0,1,0,0,0,1,"SAUDI ARABIA and CANADA proposed considering national circumstances, and NEW ZEALAND suggested looking at examples of national policies that address least-cost mitigation approaches."
254,CANADA,NEW ZEALAND,0,0,0,1,0,0,0,1,"SAUDI ARABIA and CANADA proposed considering national circumstances, and NEW ZEALAND suggested looking at examples of national policies that address least-cost mitigation approaches."
254,NEW ZEALAND,SAUDI ARABIA,0,0,0,1,0,0,0,1,"SAUDI ARABIA and CANADA proposed considering national circumstances, and NEW ZEALAND suggested looking at examples of national policies that address least-cost mitigation approaches."
254,SAUDI ARABIA,NEW ZEALAND,0,0,0,1,0,0,0,1,"SAUDI ARABIA and CANADA proposed considering national circumstances, and NEW ZEALAND suggested looking at examples of national policies that address least-cost mitigation approaches."
254,NEW ZEALAND,CANADA,0,0,0,1,0,0,0,1,"SAUDI ARABIA and CANADA proposed considering national circumstances, and NEW ZEALAND suggested looking at examples of national policies that address least-cost mitigation approaches."
254,AUSTRALIA,EU,0,0,0,1,0,0,0,1,AUSTRALIA and the EU expressed the need to review the outcomes of past workshops.
254,EU,AUSTRALIA,0,0,0,1,0,0,0,1,AUSTRALIA and the EU expressed the need to review the outcomes of past workshops.
254,US,BRAZIL,0,0,0,0,0,1,0,0,"BRAZIL, opposed by the US, expressed concern about the costs of facilitating the physical presence of observers at EB meetings."
254,AUSTRALIA,CANADA,0,0,0,1,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,AUSTRALIA,EU,0,1,0,0,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,AUSTRALIA,JAPAN,0,0,0,1,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,AUSTRALIA,US,0,0,0,1,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,CANADA,AUSTRALIA,0,0,0,1,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,CANADA,EU,0,1,0,0,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,CANADA,JAPAN,0,0,0,1,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,CANADA,US,0,0,0,1,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,JAPAN,AUSTRALIA,0,0,0,1,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,JAPAN,CANADA,0,0,0,1,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,JAPAN,EU,0,1,0,0,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,JAPAN,US,0,0,0,1,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,US,AUSTRALIA,0,0,0,1,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,US,CANADA,0,0,0,1,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,US,EU,0,1,0,0,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,US,JAPAN,0,0,0,1,0,0,0,1,"The EU, with JAPAN, US, AUSTRALIA and CANADA, stated that they could not accept the text, which he said does not correspond to the agreed terms of reference."
254,NORWAY,CANADA,0,0,0,1,0,0,0,1,"SWITZERLAND, the EU, NORWAY and CANADA supported the GEF ef bf bds co-financing requirements, saying that projects should not stand in a vacuum and, since national policies will generally address the most urgent activities, LDC Fund projects should complement and build on these efforts."
254,NORWAY,EU,0,0,0,1,0,0,0,1,"SWITZERLAND, the EU, NORWAY and CANADA supported the GEF ef bf bds co-financing requirements, saying that projects should not stand in a vacuum and, since national policies will generally address the most urgent activities, LDC Fund projects should complement and build on these efforts."
254,EU,NORWAY,0,0,0,1,0,0,0,1,"SWITZERLAND, the EU, NORWAY and CANADA supported the GEF ef bf bds co-financing requirements, saying that projects should not stand in a vacuum and, since national policies will generally address the most urgent activities, LDC Fund projects should complement and build on these efforts."
254,CANADA,EU,0,0,0,1,0,0,0,1,"SWITZERLAND, the EU, NORWAY and CANADA supported the GEF ef bf bds co-financing requirements, saying that projects should not stand in a vacuum and, since national policies will generally address the most urgent activities, LDC Fund projects should complement and build on these efforts."
254,EU,CANADA,0,0,0,1,0,0,0,1,"SWITZERLAND, the EU, NORWAY and CANADA supported the GEF ef bf bds co-financing requirements, saying that projects should not stand in a vacuum and, since national policies will generally address the most urgent activities, LDC Fund projects should complement and build on these efforts."
254,CANADA,NORWAY,0,0,0,1,0,0,0,1,"SWITZERLAND, the EU, NORWAY and CANADA supported the GEF ef bf bds co-financing requirements, saying that projects should not stand in a vacuum and, since national policies will generally address the most urgent activities, LDC Fund projects should complement and build on these efforts."
254,EU,SWITZERLAND,0,0,0,1,0,0,0,1,"SWITZERLAND, the EU, NORWAY and CANADA supported the GEF ef bf bds co-financing requirements, saying that projects should not stand in a vacuum and, since national policies will generally address the most urgent activities, LDC Fund projects should complement and build on these efforts."
254,SWITZERLAND,EU,0,0,0,1,0,0,0,1,"SWITZERLAND, the EU, NORWAY and CANADA supported the GEF ef bf bds co-financing requirements, saying that projects should not stand in a vacuum and, since national policies will generally address the most urgent activities, LDC Fund projects should complement and build on these efforts."
254,SWITZERLAND,CANADA,0,0,0,1,0,0,0,1,"SWITZERLAND, the EU, NORWAY and CANADA supported the GEF ef bf bds co-financing requirements, saying that projects should not stand in a vacuum and, since national policies will generally address the most urgent activities, LDC Fund projects should complement and build on these efforts."
254,NORWAY,SWITZERLAND,0,0,0,1,0,0,0,1,"SWITZERLAND, the EU, NORWAY and CANADA supported the GEF ef bf bds co-financing requirements, saying that projects should not stand in a vacuum and, since national policies will generally address the most urgent activities, LDC Fund projects should complement and build on these efforts."
254,SWITZERLAND,NORWAY,0,0,0,1,0,0,0,1,"SWITZERLAND, the EU, NORWAY and CANADA supported the GEF ef bf bds co-financing requirements, saying that projects should not stand in a vacuum and, since national policies will generally address the most urgent activities, LDC Fund projects should complement and build on these efforts."
254,CANADA,SWITZERLAND,0,0,0,1,0,0,0,1,"SWITZERLAND, the EU, NORWAY and CANADA supported the GEF ef bf bds co-financing requirements, saying that projects should not stand in a vacuum and, since national policies will generally address the most urgent activities, LDC Fund projects should complement and build on these efforts."
254,CANADA,SAUDI ARABIA,0,0,0,1,0,0,0,1,SAUDI ARABIA and CANADA 
254,SAUDI ARABIA,CANADA,0,0,0,1,0,0,0,1,SAUDI ARABIA and CANADA 
254,AOSIS,ARGENTINA,0,0,0,1,0,0,0,1,"BRAZIL, with AOSIS, PERU and ARGENTINA, preferred a focused approach and suggested holding a technical workshop after COP-10 that would consider submissions by Parties and possibly biome-specific definitions."
254,AOSIS,BRAZIL,0,1,0,0,0,0,0,1,"BRAZIL, with AOSIS, PERU and ARGENTINA, preferred a focused approach and suggested holding a technical workshop after COP-10 that would consider submissions by Parties and possibly biome-specific definitions."
254,AOSIS,PERU,0,0,0,1,0,0,0,1,"BRAZIL, with AOSIS, PERU and ARGENTINA, preferred a focused approach and suggested holding a technical workshop after COP-10 that would consider submissions by Parties and possibly biome-specific definitions."
254,ARGENTINA,AOSIS,0,0,0,1,0,0,0,1,"BRAZIL, with AOSIS, PERU and ARGENTINA, preferred a focused approach and suggested holding a technical workshop after COP-10 that would consider submissions by Parties and possibly biome-specific definitions."
254,ARGENTINA,BRAZIL,0,1,0,0,0,0,0,1,"BRAZIL, with AOSIS, PERU and ARGENTINA, preferred a focused approach and suggested holding a technical workshop after COP-10 that would consider submissions by Parties and possibly biome-specific definitions."
254,ARGENTINA,PERU,0,0,0,1,0,0,0,1,"BRAZIL, with AOSIS, PERU and ARGENTINA, preferred a focused approach and suggested holding a technical workshop after COP-10 that would consider submissions by Parties and possibly biome-specific definitions."
254,PERU,AOSIS,0,0,0,1,0,0,0,1,"BRAZIL, with AOSIS, PERU and ARGENTINA, preferred a focused approach and suggested holding a technical workshop after COP-10 that would consider submissions by Parties and possibly biome-specific definitions."
254,PERU,ARGENTINA,0,0,0,1,0,0,0,1,"BRAZIL, with AOSIS, PERU and ARGENTINA, preferred a focused approach and suggested holding a technical workshop after COP-10 that would consider submissions by Parties and possibly biome-specific definitions."
254,PERU,BRAZIL,0,1,0,0,0,0,0,1,"BRAZIL, with AOSIS, PERU and ARGENTINA, preferred a focused approach and suggested holding a technical workshop after COP-10 that would consider submissions by Parties and possibly biome-specific definitions."
254,US,EU,0,0,0,1,0,0,0,1,"On the process for the review of the financial mechanism, the EU, CANADA, JAPAN and US said that existing guidelines should be used."
254,EU,US,0,0,0,1,0,0,0,1,"On the process for the review of the financial mechanism, the EU, CANADA, JAPAN and US said that existing guidelines should be used."
254,CANADA,US,0,0,0,1,0,0,0,1,"On the process for the review of the financial mechanism, the EU, CANADA, JAPAN and US said that existing guidelines should be used."
254,EU,CANADA,0,0,0,1,0,0,0,1,"On the process for the review of the financial mechanism, the EU, CANADA, JAPAN and US said that existing guidelines should be used."
254,CANADA,EU,0,0,0,1,0,0,0,1,"On the process for the review of the financial mechanism, the EU, CANADA, JAPAN and US said that existing guidelines should be used."
254,JAPAN,EU,0,0,0,1,0,0,0,1,"On the process for the review of the financial mechanism, the EU, CANADA, JAPAN and US said that existing guidelines should be used."
254,EU,JAPAN,0,0,0,1,0,0,0,1,"On the process for the review of the financial mechanism, the EU, CANADA, JAPAN and US said that existing guidelines should be used."
254,US,JAPAN,0,0,0,1,0,0,0,1,"On the process for the review of the financial mechanism, the EU, CANADA, JAPAN and US said that existing guidelines should be used."
254,CANADA,JAPAN,0,0,0,1,0,0,0,1,"On the process for the review of the financial mechanism, the EU, CANADA, JAPAN and US said that existing guidelines should be used."
254,JAPAN,CANADA,0,0,0,1,0,0,0,1,"On the process for the review of the financial mechanism, the EU, CANADA, JAPAN and US said that existing guidelines should be used."
254,JAPAN,US,0,0,0,1,0,0,0,1,"On the process for the review of the financial mechanism, the EU, CANADA, JAPAN and US said that existing guidelines should be used."
254,US,CANADA,0,0,0,1,0,0,0,1,"On the process for the review of the financial mechanism, the EU, CANADA, JAPAN and US said that existing guidelines should be used."
